subject,customer_name,email_input,email_reply,category,tone,priority
Refund Request,User,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,General,Polite,Medium
Order Delay,User,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Refund,Formal,Medium
Login Issue,Member,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Formal,High
Order Delay,Customer,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Polite,Medium
Login Issue,Customer,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,High
Refund Request,Customer,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Formal,Medium
Payment Problem,User,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,Medium
Payment Problem,Customer,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Technical,Formal,Low
Refund Request,Member,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Polite,Medium
Order Delay,User,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Refund,Formal,Low
Order Delay,Client,My order has not been delivered yet.,We apologize for the delay. Our team is checking your order status.,Refund,Formal,High
Order Delay,Customer,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,General,Polite,Low
Login Issue,Customer,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,High
Account Support,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,General,Formal,Low
Refund Request,Member,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,Medium
Login Issue,Customer,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Technical,Formal,High
Account Support,Member,I need help with my account.,Please provide more details so we can assist you with the payment issue.,General,Formal,High
Payment Problem,Client,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,High
Refund Request,Customer,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Medium
Login Issue,User,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Refund,Polite,High
Refund Request,User,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Polite,Low
Order Delay,Customer,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Technical,Polite,High
Account Support,User,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,High
Account Support,Member,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Low
Payment Problem,User,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Refund,Formal,Low
Refund Request,Client,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,High
Login Issue,User,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Billing,Formal,High
Order Delay,Customer,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,General,Formal,Medium
Payment Problem,Client,When will my refund be processed?,We apologize for the delay. Our team is checking your order status.,Refund,Formal,Low
Login Issue,Customer,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,General,Polite,Low
Account Support,User,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Refund,Formal,High
Account Support,Customer,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Refund,Polite,Low
Payment Problem,User,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Polite,High
Refund Request,Client,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Billing,Formal,Medium
Account Support,Member,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,General,Polite,Medium
Login Issue,User,I need help with my account.,Our support team will assist you shortly with your account issue.,Billing,Polite,Low
Payment Problem,User,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Formal,Medium
